  OK: 10.program
  OK: 20.program
  OK: 30.program
  OK: 40.program
  OK: 50.program
  OK: 60.program
  OK: 70.program
  OK: 80.program
  OK: 90.program
  OK: 100.program

All outputs match.
Program       DYNAMIC       STATIC        SYNTH         
-------       -------       -------       -------       
10.program    3.291s        3.792s        4.211s        
20.program    4.351s        3.926s        4.273s        
30.program    5.707s        4.547s        4.588s        
40.program    5.820s        5.155s        7.560s        
50.program    6.997s        6.448s        7.774s        
60.program    9.772s        7.462s        11.161s       
70.program    11.722s       8.119s        12.391s       
80.program    12.796s       8.419s        13.499s       
90.program    15.190s       6.843s        13.058s       
100.program   14.533s       7.390s        13.996s       
