  OK: 10.program
  OK: 20.program
  OK: 30.program
  OK: 40.program
  OK: 50.program
  OK: 60.program
  OK: 70.program
  OK: 80.program
  OK: 90.program
  OK: 100.program

All outputs match.
Program       DYNAMIC       STATIC        SYNTH         
-------       -------       -------       -------       
10.program    3.020s        3.552s        3.635s        
20.program    3.484s        3.774s        3.418s        
30.program    5.489s        5.180s        4.860s        
40.program    4.184s        5.154s        4.308s        
50.program    8.837s        7.479s        6.539s        
60.program    9.110s        8.388s        8.817s        
70.program    10.113s       9.824s        9.421s        
80.program    15.639s       12.638s       15.393s       
90.program    15.286s       13.988s       12.518s       
100.program   15.404s       15.536s       13.810s       
